Location,Year,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,latitude,longitude
Nepal,2016,4.1,2.8,5.7,4.1[2.8-5.7],28.394857,84.124008
Netherlands,2016,20.4,16.9,24.2,20.4[16.9-24.2],52.132633,5.291266
New Zealand,2016,30.8,27.3,34.3,30.8[27.3-34.3],-40.900557,174.885971
Nicaragua,2016,23.7,18.9,28.6,23.7[18.9-28.6],12.865416,-85.207229
Niger,2016,5.5,3.7,7.7,5.5[3.7-7.7],17.607789,8.081666
Nigeria,2016,8.9,6.8,11.2,8.9[6.8-11.2],9.081999,8.675277
Niue,2016,50,43.7,55.8,50[43.7-55.8],-19.054445,-169.867233
Norway,2016,23.1,19.3,27.1,23.1[19.3-27.1],60.472024,8.468946
Oman,2016,27,22.3,32,27[22.3-32],21.512583,55.923255
Pakistan,2016,8.6,6.3,11.3,8.6[6.3-11.3],30.375321,69.345116
Palau,2016,55.3,49.3,61.2,55.3[49.3-61.2],7.51498,134.58252
Panama,2016,22.7,18.2,27.6,22.7[18.2-27.6],8.537981,-80.782127
Papua New Guinea,2016,21.3,15.6,27.5,21.3[15.6-27.5],-6.314993,143.95555
Paraguay,2016,20.3,15,26.2,20.3[15-26.2],-23.442503,-58.443832
Peru,2016,19.7,16.5,23.1,19.7[16.5-23.1],-9.189967,-75.015152
Philippines,2016,6.4,4.6,8.7,6.4[4.6-8.7],12.879721,121.774017
Poland,2016,23.1,19.5,26.7,23.1[19.5-26.7],51.919438,19.145136
Portugal,2016,20.8,16.9,25.1,20.8[16.9-25.1],39.399872,-8.224454
Qatar,2016,35.1,29.3,41.2,35.1[29.3-41.2],25.354826,51.183884
Republic of Korea,2016,4.7,3.6,5.9,4.7[3.6-5.9],35.907757,127.766922
Republic of Moldova,2016,18.9,14.1,23.9,18.9[14.1-23.9],47.4116,28.3669
Romania,2016,22.5,18.3,27,22.5[18.3-27],45.943161,24.96676
